year,state,value_million_aud
2013,New South Wales,175703.2
2014,New South Wales,185592.3
2015,New South Wales,193758.9
2016,New South Wales,201438.8
2017,New South Wales,207200.2
2018,New South Wales,216925.0
2019,New South Wales,216675.4
2020,New South Wales,205910.8
2021,New South Wales,211989.3
2022,New South Wales,254437.0
2023,New South Wales,272402.8
2024,New South Wales,281499.5
2013,Victoria,133550.9
2014,Victoria,139239.4
2015,Victoria,145527.9
2016,Victoria,151316.3
2017,Victoria,157885.8
2018,Victoria,167614.7
2019,Victoria,169048.3
2020,Victoria,150596.3
2021,Victoria,159719.8
2022,Victoria,196948.8
2023,Victoria,213118.9
2024,Victoria,218649.8
2013,Queensland,106464.4
2014,Queensland,109061.9
2015,Queensland,112701.9
2016,Queensland,115738.8
2017,Queensland,119038.5
2018,Queensland,125204.0
2019,Queensland,126333.6
2020,Queensland,127385.0
2021,Queensland,136293.1
2022,Queensland,158786.4
2023,Queensland,172863.7
2024,Queensland,182030.8
2013,South Australia,35468.5
2014,South Australia,36182.5
2015,South Australia,37605.3
2016,South Australia,39105.2
2017,South Australia,40608.0
2018,South Australia,42644.3
2019,South Australia,42548.9
2020,South Australia,41928.5
2021,South Australia,45185.6
2022,South Australia,52318.2
2023,South Australia,57363.1
2024,South Australia,59833.1
2013,Western Australia,59794.3
2014,Western Australia,61310.1
2015,Western Australia,62897.0
2016,Western Australia,63939.8
2017,Western Australia,64871.8
2018,Western Australia,67126.1
2019,Western Australia,67213.8
2020,Western Australia,66253.8
2021,Western Australia,71815.5
2022,Western Australia,83699.3
2023,Western Australia,93528.1
2024,Western Australia,100650.5
2013,Tasmania,10935.2
2014,Tasmania,11423.6
2015,Tasmania,11789.2
2016,Tasmania,12143.5
2017,Tasmania,12664.9
2018,Tasmania,13559.4
2019,Tasmania,13813.2
2020,Tasmania,13324.4
2021,Tasmania,14337.1
2022,Tasmania,16639.3
2023,Tasmania,17706.7
2024,Tasmania,18208.3
2013,Northern Territory,5848.2
2014,Northern Territory,6185.2
2015,Northern Territory,6350.4
2016,Northern Territory,6496.7
2017,Northern Territory,6660.7
2018,Northern Territory,7002.2
2019,Northern Territory,6692.1
2020,Northern Territory,6604.4
2021,Northern Territory,7168.6
2022,Northern Territory,8219.1
2023,Northern Territory,8927.0
2024,Northern Territory,9315.2
2013,Australian Capital Territory,9998.8
2014,Australian Capital Territory,10180.9
2015,Australian Capital Territory,10606.4
2016,Australian Capital Territory,11081.8
2017,Australian Capital Territory,11515.6
2018,Australian Capital Territory,12239.6
2019,Australian Capital Territory,12228.5
2020,Australian Capital Territory,12001.5
2021,Australian Capital Territory,12205.6
2022,Australian Capital Territory,14548.8
2023,Australian Capital Territory,15906.0
2024,Australian Capital Territory,16335.1
